variable,coef,std_err,t_stat,p_value,ci_2.5%,ci_97.5%
const,-0.005513016099141527,0.010050108344318642,-0.5485529021443887,0.5841388560997949,-0.02537326126160478,0.014347229063321726
usd_index_std,-0.013133993059901445,0.009759169756446274,-1.3458104928675907,0.18042164771399016,-0.0324193079346099,0.006151321814807004
interest_rate_std,0.011821247639176339,0.013677664133005083,0.8642738646177828,0.38883606421838524,-0.015207492114148942,0.03884998739250162
oil_production_std,0.004383248428260998,0.008094287481264461,0.541523690430657,0.5889609367026494,-0.011612055133241844,0.020378551989763842
oil_stock_std,-0.006613283516444153,0.008021419051962303,-0.8244530641777563,0.4110089192639743,-0.022464590135728695,0.00923802310284039
geopolitical_risk_std,0.00548051249229306,0.031894250176226144,0.1718338716856938,0.863802869502154,-0.05754643269789156,0.06850745768247768
geo_risk_ma3_std,-0.012436214125451123,0.03368253683889237,-0.3692184524264022,0.7124926053081055,-0.07899703281475992,0.054124604563857676
ormuz_dummy,0.0,0.0,0.0,1.0,0.0,0.0
